Mean,High,Low,Open,Ma,Rsi,CCI,adx,Macd,atr,Chaiken,HighLow,Aligator,AC,AD,Close,Date,Dt,Mom-BollObv,Adx-Boll
-4072,-4014,-4130,0.78955,0.78824,63.34844,72.29234,18.76241,0.00122,0.00118,324741,-5140.1685,0.78824,-0.00028,51407.91419,0.78954,2016.03.23 09:00:00,1,1,1
-4107,-4027,-4187,0.78953,0.78836,63.11908,72.12428,17.51376,0.00117,0.0012,265914,2155.16257,0.78836,-0.00042,93322.15169,0.7895,2016.03.23 10:00:00,1,1,1
-4033,-3993,-4073,0.78949,0.78846,63.05915,63.63636,16.5497,0.00112,0.00105,210423,3107.61983,0.78846,-0.00038,68351.20169,0.78949,2016.03.23 11:00:00,1,1,1
-4068.5,-3993,-4144,0.78888,0.7885,59.44403,-79.01506,15.59799,0.00101,0.00099,157649,-1150.95711,0.7885,-0.00046,37944.98977,0.78888,2016.03.23 12:00:00,1,1,1
-4087,-4040,-4134,0.78948,0.78859,61.71106,63.85802,14.73279,0.00097,0.00096,205116,1595.13404,0.78859,-0.0005,73292.75573,0.78948,2016.03.23 13:00:00,1,1,1
-4100,-4031,-4169,0.78939,0.78866,61.23187,49.71349,14.5736,0.00092,0.00096,141679,9281.79558,0.78866,-0.00052,110067.8282,0.7894,2016.03.23 14:00:00,1,1,1
-3905.5,-3734,-4077,0.79215,0.78897,69.57349,485.81586,14.28982,0.00108,0.00107,223501,23002.49246,0.78897,-0.00021,164695.3442,0.79209,2016.03.23 15:00:00,1,1,1
-3838,-3747,-3929,0.79127,0.78918,65.09073,255.1034,14.03183,0.00113,0.00111,144323,26989.92145,0.78918,2.00E-05,134242.2673,0.79127,2016.03.23 16:00:00,1,1,1
-3820,-3766,-3874,0.79184,0.78942,66.65869,244.72041,13.7973,0.0012,0.00112,211201,29883.34031,0.78942,0.00025,139196.1932,0.79184,2016.03.23 17:00:00,1,1,1
-3795.5,-3744,-3847,0.7921,0.78967,67.36082,197.42594,14.11776,0.00126,0.00114,270595,32186.08043,0.78967,0.00044,145539.2418,0.7921,2016.03.23 18:00:00,1,1,1
-3734,-3668,-3800,0.79245,0.78992,68.27808,172.47014,15.64388,0.00133,0.00117,313674,30740.13625,0.78992,0.00064,131179.5751,0.79244,2016.03.23 19:00:00,1,1,1
-3763,-3723,-3803,0.79213,0.79012,66.48922,125.53183,16.89282,0.00134,0.00116,276002,25459.66213,0.79012,0.00046,108576.3751,0.79213,2016.03.23 20:00:00,1,1,1
-3782,-3751,-3813,0.79204,0.79029,65.9624,102.84761,17.41462,0.00132,0.00117,246567,19165.8788,0.79029,0.00017,95283.1493,0.79204,2016.03.23 21:00:00,1,1,1
-3798.5,-3777,-3820,0.79184,0.79044,64.88281,81.76687,17.27864,0.00128,0.00116,228276,12341.21692,0.79044,-9.00E-05,82096.61442,0.79186,2016.03.23 22:00:00,1,1,1
-3813,-3787,-3839,0.7919,0.79057,65.01641,74.53399,15.90022,0.00124,0.00114,235723,7544.25808,0.79057,-0.00033,82955.88365,0.7919,2016.03.23 23:00:00,1,1,1
-3803,-3784,-3822,0.79211,0.79071,65.735,76.64111,14.89201,0.0012,0.00111,253037,6131.7755,0.79071,-0.00046,95713.56786,0.79211,2016.03.24 00:00:00,1,1,1
-3804.5,-3781,-3828,0.79187,0.79082,64.15368,58.70041,13.54559,0.00115,0.0011,234678,3972.91917,0.79082,-0.00044,89073.0785,0.79187,2016.03.24 01:00:00,1,1,1
-3774,-3721,-3827,0.79253,0.79097,66.48191,84.22601,13.99375,0.00114,0.00112,263827,4773.09701,0.79097,-0.00031,103922.5691,0.79253,2016.03.24 02:00:00,1,1,1
-3764.5,-3728,-3801,0.79235,0.7911,65.26796,69.9702,14.40116,0.00111,0.00112,226015,5127.7886,0.7911,-0.00018,103404.5965,0.79235,2016.03.24 03:00:00,1,1,1
-3783,-3753,-3813,0.79236,0.79121,65.30492,66.23207,13.98045,0.00107,0.0011,251729,7843.96342,0.79121,-0.0001,119690.1298,0.79236,2016.03.24 04:00:00,1,1,1
-3740.5,-3709,-3772,0.79268,0.79134,66.50249,80.78454,15.40296,0.00106,0.00106,273108,10435.41426,0.79134,-1.00E-05,125459.0663,0.79268,2016.03.24 05:00:00,1,1,1
-3740,-3723,-3757,0.7925,0.79145,65.17381,67.00221,16.69614,0.00102,0.00102,253647,10143.92748,0.79145,3.00E-05,114011.4192,0.7925,2016.03.24 06:00:00,1,1,1
-3776,-3746,-3806,0.79247,0.79154,64.94674,63.27051,15.28276,0.00097,0.00098,230740,12508.60253,0.79154,-4.00E-05,131573.4526,0.79247,2016.03.24 07:00:00,1,1,1
-3734,-3693,-3775,0.79279,0.79166,66.22361,88.38698,15.36406,0.00095,0.00098,253706,14905.96485,0.79166,-6.00E-05,138295.2087,0.79278,2016.03.24 08:00:00,1,1,1
